DNA Sequence,avg_reward,highest reward in an episode,the whole 10 episodes reward,what kind of mutaion 
"['C', 41, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",290.5,500,"[290.0, 226.0, 500.0, 103.0, 279.0, 398.0, 500.0, 241.0, 94.0, 274.0]",remove a classical layer
"['C', 50, 'T', 'C', 55, 'R', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",289.2,500,"[195.0, 130.0, 191.0, 354.0, 500.0, 500.0, 195.0, 277.0, 150.0, 400.0]",remove a classical layer
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,"[164.0, 194.0, 241.0, 457.0, 341.0, 284.0, 194.0, 243.0, 252.0, 500.0]",change the activation fucntion of a layer
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],change the activation fucntion of a layer
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],change the activation fucntion of a layer
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],change the activation fucntion of a layer
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
"['C', 37, 'R', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",287,500,[],identity
